,paint,Name,Style,Painter,Link
1,ballad-of-epona-1900.jpg!Large.jpg,Ballad of Epona,"Orphism (Simultanism), Abstract Art",Frantisek Kupka,https://www.wikiart.org/en/frantisek-kupka/ballad-of-epona-1900
2,Burliuk.jpg,The Time,"Futurism, Avant-garde",David Burliuk,https://www.wikiart.org/en/david-burliuk/the-time-1910
3,Cezanne.jpg,House and Trees,Post-Impressionism,Paul Cezanne,https://www.wikiart.org/en/paul-cezanne/house-and-trees-1894
4,Chirico.jpg,Christ and the Storm,Neo-baroque,Giorgio de Chirico,https://www.wikiart.org/en/giorgio-de-chirico/christ-and-the-storm-1914
5,city-of-churches-1918(1).jpg!Large.jpg,City of Churches,Cubism,Paul Klee,https://www.wikiart.org/en/paul-klee/city-of-churches-1918
6,d-apr-s-el-greco-1965(1).jpg!Large.jpg,D'après El Greco,Expressionism,Constantin Flondor,https://www.wikiart.org/en/constantin-flondor/d-apr-s-el-greco-1965
7,dd101419.jpg!Large.jpg,City,Expressionism,Albert Tucker,https://www.wikiart.org/en/albert-tucker/city-1973
8,destroyed-place-1920(1).jpg!Large.jpg,Destroyed place,Expressionism,Paul Klee,https://www.wikiart.org/en/paul-klee/destroyed-place-1920
9,disks-of-newton-study-for-fugue-in-two-colors.jpg!PinterestSmall.jpg,"Disks of Newton, Study for Fugue in Two Colors",Orphism,Frantisek Kupka,https://www.wikiart.org/en/frantisek-kupka/disks-of-newton-study-for-fugue-in-two-colors
10,early-moonrise-florida-1893.jpg!Large.jpg,"Early Moonrise, Florida",Tonalism,George Inness,https://www.wikiart.org/en/george-inness/early-moonrise-florida-1893
11,EdgarDegas.jpg,The Millinery Shop,Impressionism,Edgar Degas,https://www.wikiart.org/en/edgar-degas/the-millinery-shop-1884
12,einek-nstlergemeinschaft.jpg!Large.jpg,Group of Artists,Expressionism,Ernst Ludwig Kirchner,https://www.wikiart.org/en/ernst-ludwig-kirchner/group-of-artists-1927
13,girl-s-head-in-a-shawl.jpg,Girl's Head in a Shawl,Art Nouveau (Modern),Fedir Krychevsky,https://www.wikiart.org/en/fedir-krychevsky/girls-head-in-a-shawl
14,gladiators-1940.jpg,Gladiators,Social Realism,Philip Guston,https://www.wikiart.org/en/philip-guston/gladiators-1940
15,grablegung.jpg,The Entombment,Gothic,Master Francke,https://www.wikiart.org/en/master-francke/the-entombment
16,hoffmann.jpg,Christ Among the Doctors,Northern Renaissance,Hans Hoffmann,https://www.wikiart.org/en/hans-hoffmann/christ-among-the-doctors
17,Ingleside.jpg,Ingleside,Expressionism,Richard Diebenkorn,https://www.wikiart.org/en/richard-diebenkorn/ingleside
